name,price,rating,reviews,checkin_date,checkout_date
Charming apartment - 1BR- 4P - Tour Eiffel,€ 193,"Avec une note de 8,38,3",7 expériences vécues,2025-01-01,2025-01-02
Suites FL By Sweett,€ 137,"Avec une note de 8,88,8",179 expériences vécues,2025-01-01,2025-01-02
Appartement charmant et coloré Montparnasse - II,€ 230,,,2025-01-01,2025-01-02
Hôtel Avama Prony,€ 83,"Avec une note de 7,87,8",1 002 expériences vécues,2025-01-01,2025-01-02
L'Adresse,€ 110,"Avec une note de 7,67,6",305 expériences vécues,2025-01-01,2025-01-02
Hotel 34B - Astotel,€ 126,"Avec une note de 8,88,8",2 840 expériences vécues,2025-01-01,2025-01-02
Hotel La Manufacture,€ 103,"Avec une note de 8,38,3",2 213 expériences vécues,2025-01-01,2025-01-02
ibis Paris Bastille Faubourg St Antoine,€ 102,"Avec une note de 8,38,3",1 818 expériences vécues,2025-01-01,2025-01-02
Arioso,€ 160,"Avec une note de 8,88,8",1 740 expériences vécues,2025-01-01,2025-01-02
Hôtel Saint-Pétersbourg Opéra & Spa,€ 205,"Avec une note de 8,68,6",5 197 expériences vécues,2025-01-01,2025-01-02
Les Artistes,€ 178,"Avec une note de 9,09,0",1 038 expériences vécues,2025-01-01,2025-01-02
Hotel Armoni Paris,€ 131,"Avec une note de 8,18,1",2 210 expériences vécues,2025-01-01,2025-01-02
Hôtel Baudelaire Opéra,€ 126,"Avec une note de 8,08,0",1 217 expériences vécues,2025-01-01,2025-01-02
"Hôtel Hiro, New Hotel 2024",€ 215,"Avec une note de 8,88,8",126 expériences vécues,2025-01-01,2025-01-02
Hôtel Le M,€ 147,"Avec une note de 8,08,0",1 619 expériences vécues,2025-01-01,2025-01-02
Avalon Cosy Hotel Paris,€ 144,"Avec une note de 8,28,2",1 412 expériences vécues,2025-01-01,2025-01-02
Le Lampika Hôtel,€ 127,"Avec une note de 8,58,5",258 expériences vécues,2025-01-01,2025-01-02
Hôtel Le Relais Saint-Germain,€ 267,"Avec une note de 8,88,8",503 expériences vécues,2025-01-01,2025-01-02
Nouvel Hôtel Eiffel,€ 126,"Avec une note de 7,97,9",1 245 expériences vécues,2025-01-01,2025-01-02
Rose Bourbon,€ 121,"Avec une note de 8,38,3",1 356 expériences vécues,2025-01-01,2025-01-02
Hotel Le Richemont,€ 92,"Avec une note de 8,08,0",2 343 expériences vécues,2025-01-01,2025-01-02
Hôtel Emile Le Marais,€ 150,"Avec une note de 7,87,8",1 285 expériences vécues,2025-01-01,2025-01-02
Hôtel Beauquartier Montmartre,€ 105,"Avec une note de 8,18,1",1 167 expériences vécues,2025-01-01,2025-01-02
Hotel la Perle Montparnasse,€ 82,"Avec une note de 7,27,2",1 619 expériences vécues,2025-01-01,2025-01-02
Le Petit Cosy Hôtel,€ 110,"Avec une note de 8,48,4",1 390 expériences vécues,2025-01-01,2025-01-02
Hôtel LEON,€ 139,"Avec une note de 9,09,0",226 expériences vécues,2025-01-02,2025-01-03
Hotel Villa Saxe Eiffel,€ 205,"Avec une note de 8,68,6",1 859 expériences vécues,2025-01-02,2025-01-03
Hotel Taylor,€ 140,"Avec une note de 8,78,7",3 242 expériences vécues,2025-01-02,2025-01-03
Les Jardins De La Villa,€ 146,"Avec une note de 8,68,6",827 expériences vécues,2025-01-02,2025-01-03
Sublim by Sweett,€ 152,"Avec une note de 8,08,0",944 expériences vécues,2025-01-02,2025-01-03
Hotel 34B - Astotel,€ 138,"Avec une note de 8,88,8",2 840 expériences vécues,2025-01-02,2025-01-03
Hôtel Emile Le Marais,€ 150,"Avec une note de 7,87,8",1 285 expériences vécues,2025-01-02,2025-01-03
Hôtel Petit Saint-Honoré,€ 111,"Avec une note de 7,47,4",2 001 expériences vécues,2025-01-02,2025-01-03
Hôtel Edouard 6 by Malone,€ 130,"Avec une note de 8,68,6",1 266 expériences vécues,2025-01-02,2025-01-03
Hôtel Juliette,€ 77,"Avec une note de 7,87,8",1 040 expériences vécues,2025-01-02,2025-01-03
Rose Bourbon,€ 132,"Avec une note de 8,38,3",1 356 expériences vécues,2025-01-02,2025-01-03
Kopster Hotel Paris Porte de Versailles,€ 139,"Avec une note de 8,38,3",573 expériences vécues,2025-01-02,2025-01-03
L'Adresse,€ 121,"Avec une note de 7,67,6",305 expériences vécues,2025-01-02,2025-01-03
Hôtel Le M,€ 157,"Avec une note de 8,08,0",1 619 expériences vécues,2025-01-02,2025-01-03
Elysees Niel Hotel,€ 115,"Avec une note de 8,08,0",1 626 expériences vécues,2025-01-02,2025-01-03
Hotel des Bains,€ 109,"Avec une note de 7,67,6",2 178 expériences vécues,2025-01-02,2025-01-03
Hôtel Caron le Marais,€ 150,"Avec une note de 8,78,7",782 expériences vécues,2025-01-02,2025-01-03
Hôtel Bellevue et du Chariot d'Or,€ 112,"Avec une note de 7,57,5",4 332 expériences vécues,2025-01-02,2025-01-03
Hotel Lilas Blanc,€ 116,"Avec une note de 8,48,4",2 337 expériences vécues,2025-01-02,2025-01-03
Hotel Lorette - Astotel,€ 115,"Avec une note de 8,58,5",2 168 expériences vécues,2025-01-02,2025-01-03
Auteuil Tour Eiffel,€ 181,"Avec une note de 8,48,4",2 065 expériences vécues,2025-01-02,2025-01-03
Hotel Mimosa Paris,€ 90,"Avec une note de 7,57,5",2 798 expériences vécues,2025-01-02,2025-01-03
Best Western Premier Faubourg 88,€ 121,"Avec une note de 8,28,2",904 expériences vécues,2025-01-02,2025-01-03
"Hôtel Hiro, New Hotel 2024",€ 223,"Avec une note de 8,88,8",126 expériences vécues,2025-01-02,2025-01-03
Monsieur Cadet Hotel & Spa,€ 201,"Avec une note de 8,78,7",943 expériences vécues,2025-01-02,2025-01-03
Charming studio - 2P - Le Marais Rue des Archives,€ 228,"Avec une note de 8,98,9",10 expériences vécues,2025-01-03,2025-01-04
L'Adresse,€ 110,"Avec une note de 7,67,6",305 expériences vécues,2025-01-03,2025-01-04
Hôtel Veryste & Spa Paris,€ 144,"Avec une note de 8,28,2",914 expériences vécues,2025-01-03,2025-01-04
Lennon by Avalon Hotel Paris Gare du Nord,€ 69,"Avec une note de 7,47,4",2 784 expériences vécues,2025-01-03,2025-01-04
Hotel Monsieur & Spa,€ 170,"Avec une note de 8,48,4",1 031 expériences vécues,2025-01-03,2025-01-04
Tilsitt Etoile Paris,€ 128,"Avec une note de 8,28,2",1 412 expériences vécues,2025-01-03,2025-01-04
Hôtel 85 Saint Honore,€ 143,"Avec une note de 7,57,5",1 084 expériences vécues,2025-01-03,2025-01-04
Avalon Cosy Hotel Paris,€ 138,"Avec une note de 8,28,2",1 412 expériences vécues,2025-01-03,2025-01-04
Hotel Le Richemont,€ 86,"Avec une note de 8,08,0",2 343 expériences vécues,2025-01-03,2025-01-04
Hôtel Lodge In Paris 13,€ 70,"Avec une note de 6,76,7",3 849 expériences vécues,2025-01-03,2025-01-04
Hôtel Océanic - Grands Magasins,€ 158,"Avec une note de 8,68,6",1 417 expériences vécues,2025-01-03,2025-01-04
Rose Bourbon,€ 126,"Avec une note de 8,38,3",1 356 expériences vécues,2025-01-03,2025-01-04
Hotel Armoni Paris,€ 139,"Avec une note de 8,18,1",2 210 expériences vécues,2025-01-03,2025-01-04
Hôtel France Eiffel,€ 99,"Avec une note de 6,96,9",4 329 expériences vécues,2025-01-03,2025-01-04
ibis Paris Grands Boulevards Opéra 9e,€ 134,"Avec une note de 8,08,0",2 076 expériences vécues,2025-01-03,2025-01-04
"Hôtel Hiro, New Hotel 2024",€ 175,"Avec une note de 8,88,8",126 expériences vécues,2025-01-03,2025-01-04
Hôtel Avama Prony,€ 94,"Avec une note de 7,87,8",1 002 expériences vécues,2025-01-03,2025-01-04
Hotel 34B - Astotel,€ 138,"Avec une note de 8,88,8",2 840 expériences vécues,2025-01-03,2025-01-04
Hôtel Eiffel Rive Gauche,€ 127,"Avec une note de 7,77,7",3 254 expériences vécues,2025-01-03,2025-01-04
Nouvel Hôtel,€ 95,"Avec une note de 7,67,6",1 775 expériences vécues,2025-01-03,2025-01-04
Hôtel Juliette,€ 77,"Avec une note de 7,87,8",1 040 expériences vécues,2025-01-03,2025-01-04
Le Nest by Sweett,€ 146,"Avec une note de 8,88,8",973 expériences vécues,2025-01-03,2025-01-04
Hotel Marais Grands Boulevards,€ 146,"Avec une note de 8,18,1",1 437 expériences vécues,2025-01-03,2025-01-04
Hôtel Aston Paris,€ 132,"Avec une note de 7,67,6",2 664 expériences vécues,2025-01-03,2025-01-04
La Villa des Ternes,€ 159,"Avec une note de 8,28,2",871 expériences vécues,2025-01-03,2025-01-04
Cozy Apartment 2BR-6P - Sacré-Coeur Montmartre,€ 302,"Avec une note de 9,49,4",5 expériences vécues,2025-01-04,2025-01-05
Hôtel Chaplain Paris Rive Gauche,€ 137,"Avec une note de 8,18,1",1 873 expériences vécues,2025-01-04,2025-01-05
Hotel Viator - Gare de Lyon,€ 99,"Avec une note de 8,08,0",2 732 expériences vécues,2025-01-04,2025-01-05
Avalon Hotel,€ 89,"Avec une note de 7,77,7",498 expériences vécues,2025-01-04,2025-01-05
Hôtel Océanic - Grands Magasins,€ 145,"Avec une note de 8,68,6",1 417 expériences vécues,2025-01-04,2025-01-05
La Villa des Ternes,€ 131,"Avec une note de 8,28,2",871 expériences vécues,2025-01-04,2025-01-05
Hôtel Veryste & Spa Paris,€ 144,"Avec une note de 8,28,2",914 expériences vécues,2025-01-04,2025-01-05
Hôtel Lodge In Paris 13,€ 70,"Avec une note de 6,76,7",3 849 expériences vécues,2025-01-04,2025-01-05
citizenM Paris Gare de Lyon,€ 137,"Avec une note de 8,28,2",10 230 expériences vécues,2025-01-04,2025-01-05
Hotel Lilas Blanc,€ 99,"Avec une note de 8,48,4",2 337 expériences vécues,2025-01-04,2025-01-05
L'Adresse,€ 110,"Avec une note de 7,67,6",305 expériences vécues,2025-01-04,2025-01-05
Nouvel Hôtel Eiffel,€ 115,"Avec une note de 7,97,9",1 245 expériences vécues,2025-01-04,2025-01-05
Les Artistes,€ 167,"Avec une note de 9,09,0",1 038 expériences vécues,2025-01-04,2025-01-05
