name,price,rating,reviews,checkin_date,checkout_date
Charming apartment - 1BR- 4P - Tour Eiffel,193,8.0,7.0,2025-01-01,2025-01-02
Suites FL By Sweett,137,8.0,179.0,2025-01-01,2025-01-02
Appartement charmant et coloré Montparnasse - II,230,,,2025-01-01,2025-01-02
Hôtel Avama Prony,83,7.0,1.0,2025-01-01,2025-01-02
L'Adresse,110,7.0,305.0,2025-01-01,2025-01-02
Hotel 34B - Astotel,126,8.0,2.0,2025-01-01,2025-01-02
Hotel La Manufacture,103,8.0,2.0,2025-01-01,2025-01-02
ibis Paris Bastille Faubourg St Antoine,102,8.0,1.0,2025-01-01,2025-01-02
Arioso,160,8.0,1.0,2025-01-01,2025-01-02
Hôtel Saint-Pétersbourg Opéra & Spa,205,8.0,5.0,2025-01-01,2025-01-02
Les Artistes,178,9.0,1.0,2025-01-01,2025-01-02
Hotel Armoni Paris,131,8.0,2.0,2025-01-01,2025-01-02
Hôtel Baudelaire Opéra,126,8.0,1.0,2025-01-01,2025-01-02
"Hôtel Hiro, New Hotel 2024",215,8.0,126.0,2025-01-01,2025-01-02
Hôtel Le M,147,8.0,1.0,2025-01-01,2025-01-02
Avalon Cosy Hotel Paris,144,8.0,1.0,2025-01-01,2025-01-02
Le Lampika Hôtel,127,8.0,258.0,2025-01-01,2025-01-02
Hôtel Le Relais Saint-Germain,267,8.0,503.0,2025-01-01,2025-01-02
Nouvel Hôtel Eiffel,126,7.0,1.0,2025-01-01,2025-01-02
Rose Bourbon,121,8.0,1.0,2025-01-01,2025-01-02
Hotel Le Richemont,92,8.0,2.0,2025-01-01,2025-01-02
Hôtel Emile Le Marais,150,7.0,1.0,2025-01-01,2025-01-02
Hôtel Beauquartier Montmartre,105,8.0,1.0,2025-01-01,2025-01-02
Hotel la Perle Montparnasse,82,7.0,1.0,2025-01-01,2025-01-02
Le Petit Cosy Hôtel,110,8.0,1.0,2025-01-01,2025-01-02
Hôtel LEON,139,9.0,226.0,2025-01-02,2025-01-03
Hotel Villa Saxe Eiffel,205,8.0,1.0,2025-01-02,2025-01-03
Hotel Taylor,140,8.0,3.0,2025-01-02,2025-01-03
Les Jardins De La Villa,146,8.0,827.0,2025-01-02,2025-01-03
Sublim by Sweett,152,8.0,944.0,2025-01-02,2025-01-03
Hotel 34B - Astotel,138,8.0,2.0,2025-01-02,2025-01-03
Hôtel Emile Le Marais,150,7.0,1.0,2025-01-02,2025-01-03
Hôtel Petit Saint-Honoré,111,7.0,2.0,2025-01-02,2025-01-03
Hôtel Edouard 6 by Malone,130,8.0,1.0,2025-01-02,2025-01-03
Hôtel Juliette,77,7.0,1.0,2025-01-02,2025-01-03
Rose Bourbon,132,8.0,1.0,2025-01-02,2025-01-03
Kopster Hotel Paris Porte de Versailles,139,8.0,573.0,2025-01-02,2025-01-03
L'Adresse,121,7.0,305.0,2025-01-02,2025-01-03
Hôtel Le M,157,8.0,1.0,2025-01-02,2025-01-03
Elysees Niel Hotel,115,8.0,1.0,2025-01-02,2025-01-03
Hotel des Bains,109,7.0,2.0,2025-01-02,2025-01-03
Hôtel Caron le Marais,150,8.0,782.0,2025-01-02,2025-01-03
Hôtel Bellevue et du Chariot d'Or,112,7.0,4.0,2025-01-02,2025-01-03
Hotel Lilas Blanc,116,8.0,2.0,2025-01-02,2025-01-03
Hotel Lorette - Astotel,115,8.0,2.0,2025-01-02,2025-01-03
Auteuil Tour Eiffel,181,8.0,2.0,2025-01-02,2025-01-03
Hotel Mimosa Paris,90,7.0,2.0,2025-01-02,2025-01-03
Best Western Premier Faubourg 88,121,8.0,904.0,2025-01-02,2025-01-03
"Hôtel Hiro, New Hotel 2024",223,8.0,126.0,2025-01-02,2025-01-03
Monsieur Cadet Hotel & Spa,201,8.0,943.0,2025-01-02,2025-01-03
Charming studio - 2P - Le Marais Rue des Archives,228,8.0,10.0,2025-01-03,2025-01-04
L'Adresse,110,7.0,305.0,2025-01-03,2025-01-04
Hôtel Veryste & Spa Paris,144,8.0,914.0,2025-01-03,2025-01-04
Lennon by Avalon Hotel Paris Gare du Nord,69,7.0,2.0,2025-01-03,2025-01-04
Hotel Monsieur & Spa,170,8.0,1.0,2025-01-03,2025-01-04
Tilsitt Etoile Paris,128,8.0,1.0,2025-01-03,2025-01-04
Hôtel 85 Saint Honore,143,7.0,1.0,2025-01-03,2025-01-04
Avalon Cosy Hotel Paris,138,8.0,1.0,2025-01-03,2025-01-04
Hotel Le Richemont,86,8.0,2.0,2025-01-03,2025-01-04
Hôtel Lodge In Paris 13,70,6.0,3.0,2025-01-03,2025-01-04
Hôtel Océanic - Grands Magasins,158,8.0,1.0,2025-01-03,2025-01-04
Rose Bourbon,126,8.0,1.0,2025-01-03,2025-01-04
Hotel Armoni Paris,139,8.0,2.0,2025-01-03,2025-01-04
Hôtel France Eiffel,99,6.0,4.0,2025-01-03,2025-01-04
ibis Paris Grands Boulevards Opéra 9e,134,8.0,2.0,2025-01-03,2025-01-04
"Hôtel Hiro, New Hotel 2024",175,8.0,126.0,2025-01-03,2025-01-04
Hôtel Avama Prony,94,7.0,1.0,2025-01-03,2025-01-04
Hotel 34B - Astotel,138,8.0,2.0,2025-01-03,2025-01-04
Hôtel Eiffel Rive Gauche,127,7.0,3.0,2025-01-03,2025-01-04
Nouvel Hôtel,95,7.0,1.0,2025-01-03,2025-01-04
Hôtel Juliette,77,7.0,1.0,2025-01-03,2025-01-04
Le Nest by Sweett,146,8.0,973.0,2025-01-03,2025-01-04
Hotel Marais Grands Boulevards,146,8.0,1.0,2025-01-03,2025-01-04
Hôtel Aston Paris,132,7.0,2.0,2025-01-03,2025-01-04
La Villa des Ternes,159,8.0,871.0,2025-01-03,2025-01-04
Cozy Apartment 2BR-6P - Sacré-Coeur Montmartre,302,9.0,5.0,2025-01-04,2025-01-05
Hôtel Chaplain Paris Rive Gauche,137,8.0,1.0,2025-01-04,2025-01-05
Hotel Viator - Gare de Lyon,99,8.0,2.0,2025-01-04,2025-01-05
Avalon Hotel,89,7.0,498.0,2025-01-04,2025-01-05
Hôtel Océanic - Grands Magasins,145,8.0,1.0,2025-01-04,2025-01-05
La Villa des Ternes,131,8.0,871.0,2025-01-04,2025-01-05
Hôtel Veryste & Spa Paris,144,8.0,914.0,2025-01-04,2025-01-05
Hôtel Lodge In Paris 13,70,6.0,3.0,2025-01-04,2025-01-05
citizenM Paris Gare de Lyon,137,8.0,10.0,2025-01-04,2025-01-05
Hotel Lilas Blanc,99,8.0,2.0,2025-01-04,2025-01-05
L'Adresse,110,7.0,305.0,2025-01-04,2025-01-05
Nouvel Hôtel Eiffel,115,7.0,1.0,2025-01-04,2025-01-05
Les Artistes,167,9.0,1.0,2025-01-04,2025-01-05
Maison Albar- Le Champs-Elysées,373,8.0,526.0,2025-01-04,2025-01-05
Rose Bourbon,115,8.0,1.0,2025-01-04,2025-01-05
"Hôtel Hiro, New Hotel 2024",178,8.0,126.0,2025-01-04,2025-01-05
Le Lampika Hôtel,121,8.0,258.0,2025-01-04,2025-01-05
Lennon by Avalon Hotel Paris Gare du Nord,69,7.0,2.0,2025-01-04,2025-01-05
Hôtel 85 Saint Honore,143,7.0,1.0,2025-01-04,2025-01-05
Hotel Armoni Paris,129,8.0,2.0,2025-01-04,2025-01-05
Waldorf Montparnasse,107,8.0,1.0,2025-01-04,2025-01-05
Hotel Mirabeau Eiffel,96,7.0,1.0,2025-01-04,2025-01-05
Amadeus Hotel,99,7.0,2.0,2025-01-04,2025-01-05
Hôtel Juliette,77,7.0,1.0,2025-01-04,2025-01-05
Tilsitt Etoile Paris,128,8.0,1.0,2025-01-04,2025-01-05
Résidence Port Royal - Jardin du Luxembourg,192,9.0,15.0,2025-01-05,2025-01-06
HOY Paris - Yoga Hotel,257,9.0,395.0,2025-01-05,2025-01-06
Hotel Villa Romantic & Spa,157,8.0,2.0,2025-01-05,2025-01-06
Hôtel Saint-Pétersbourg Opéra & Spa,167,8.0,5.0,2025-01-05,2025-01-06
Hotel Aida Opera,112,8.0,3.0,2025-01-05,2025-01-06
Hôtel Galileo Champs Elysées,109,8.0,1.0,2025-01-05,2025-01-06
Les Artistes,121,9.0,1.0,2025-01-05,2025-01-06
Hotel Monsieur Helder,85,8.0,885.0,2025-01-05,2025-01-06
Hôtel Le Relais Saint-Germain,167,8.0,503.0,2025-01-05,2025-01-06
Hotel Monsieur & Spa,132,8.0,1.0,2025-01-05,2025-01-06
Hotel des Carmes by Malone,126,8.0,577.0,2025-01-05,2025-01-06
Hôtel De Nice,91,8.0,2.0,2025-01-05,2025-01-06
Hotel Ekta Champs Elysées,115,8.0,1.0,2025-01-05,2025-01-06
Hotel La Manufacture,80,8.0,2.0,2025-01-05,2025-01-06
